"datetime.href","datetime.text","user.href","user.text","comment.href","comment.text","url"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Don_Larsen_1956.png"
"http://upload.wikimedia.org/wikipedia/commons/8/81/Don_Larsen_1956.png","13:52, 30 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Don_Larsen","{{Information |Description ={{en|1=New York Yankees pitcher en:Don Larsen in a 1956 issue of Baseball Digest.}} |Source =Baseball Digest, front cover, November 1956 issue. [http://books.google.com/books?id=ISwDAAAAMBAJ&printsec=frontcover&","http://commons.wikimedia.org/wiki/File:Don_Larsen_1956.png"
"","Date/Time","","User","Comment","http://commons.wikimedia.org/wiki/File:Bob_Uecker_1962.png"
"http://upload.wikimedia.org/wikipedia/commons/d/d4/Bob_Uecker_1962.png","02:55, 8 June 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","{{Information |Description ={{en|1=Milwaukee Braves catcher {{w|Bob Uecker}} in a 1962 issue of Baseball Digest.}} |Source =Baseball Digest, page 69, March 1962 issue. [http://books.google.com/books?id=gS8DAAAAMBAJ&lpg=PA1&dq=baseball%20digest&","http://commons.wikimedia.org/wiki/File:Bob_Uecker_1962.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Yogi_Berra_1956.png"
"http://upload.wikimedia.org/wikipedia/commons/6/6b/Yogi_Berra_1956.png","04:26, 30 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Yogi_Berra","{{Information |Description ={{en|1=New York Yankees catcher en:Yogi Berra in a 1956 issue of Baseball Digest. }} |Source =Baseball Digest, front cover, September 1956 issue. [http://books.google.com/books?id=6C0DAAAAMBAJ&printsec=frontcove","http://commons.wikimedia.org/wiki/File:Yogi_Berra_1956.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Hank_Aguirre_1956.png"
"http://upload.wikimedia.org/wikipedia/commons/c/c8/Hank_Aguirre_1956.png","04:13, 30 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Hank_Aguirre","{{Information |Description ={{en|1=Cleveland Indians pitcher en:Hank Aguirre in a 1956 issue of Baseball Digest.}} |Source =Baseball Digest, page 2, March 1956 issue. |Author =unknown |Date =1956-03 |Permission ={{PD-","http://commons.wikimedia.org/wiki/File:Hank_Aguirre_1956.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Billy_Williams_1961.png"
"http://upload.wikimedia.org/wikipedia/commons/4/4f/Billy_Williams_1961.png","15:32, 29 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Billy_Williams_(left_fielder)","{{Information |Description ={{en|1=Chicago Cubs outfielder Billy Williams in a 1961 issue of Baseball Digest.}} |Source =Baseball Digest, page 47, December 1961 issue. [http://books.google.com/books?id=WS0D","http://commons.wikimedia.org/wiki/File:Billy_Williams_1961.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Minnie_Mi%C3%B1oso_1953.png"
"http://upload.wikimedia.org/wikipedia/commons/0/03/Minnie_Mi%C3%B1oso_1953.png","21:53, 30 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Minnie_Mi%C3%B1oso","{{Information |Description ={{en|1=Chicago White Sox left fielder en:Minnie Miñoso (pictured as Orestes Minoso) in a 1953 issue of Baseball Digest.}} |Source =Baseball Digest, page 99, August 1953 issue. [http://books.google.com/books?id=","http://commons.wikimedia.org/wiki/File:Minnie_Mi%C3%B1oso_1953.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Ron_Santo_1961.png"
"http://upload.wikimedia.org/wikipedia/commons/0/00/Ron_Santo_1961.png","15:25, 29 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Ron_Santo","{{Information |Description ={{en|1=Chicago Cubs third baseman en:Ron Santo in a 1961 issue of Baseball Digest.}} |Source =Baseball Digest, page 13, August 1961 issue. [http://books.google.com/books?id=Ky4DAAAAMBAJ&printsec=frontcover&dq=ba","http://commons.wikimedia.org/wiki/File:Ron_Santo_1961.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Ned_Garver_1956.png"
"http://upload.wikimedia.org/wikipedia/commons/2/24/Ned_Garver_1956.png","14:00, 30 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Ned_Garver","{{Information |Description ={{en|1=Detroit Tigers pitcher en:Ned Garver in a 1956 issue of Baseball Digest.}} |Source =Baseball Digest, back cover, June 1956 issue. [http://books.google.com/books?id=-zIDAAAAMBAJ&printsec=frontcover&dq=base","http://commons.wikimedia.org/wiki/File:Ned_Garver_1956.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Eddie_Kasko_1958.png"
"http://upload.wikimedia.org/wikipedia/commons/4/4b/Eddie_Kasko_1958.png","02:47, 29 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Eddie_Kasko","{{Information |Description ={{en|1=St. Louis Cardinals infielder en:Eddie Kasko in a 1958 issue of Baseball Digest.}} |Source =Baseball Digest, back cover, May 1958 issue. [http://books.google.com/books?id=5S0DAAAAMBAJ&pg=PA30&dq=polo+grou","http://commons.wikimedia.org/wiki/File:Eddie_Kasko_1958.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Bob_Purkey_1958.png"
"http://upload.wikimedia.org/wikipedia/commons/1/14/Bob_Purkey_1958.png","00:07, 30 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Bob_Purkey","{{Information |Description ={{en|1=Cincinnati Reds pitcher en:Bob Purkey in a 1958 issue of Baseball Digest.}} |Source =Baseball Digest, page 2, June 1958 issue. [http://books.google.com/books?id=7jIDAAAAMBAJ&printsec=frontcover&dq=basebal","http://commons.wikimedia.org/wiki/File:Bob_Purkey_1958.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Juan_Pizarro_1957.png"
"http://upload.wikimedia.org/wikipedia/commons/5/50/Juan_Pizarro_1957.png","03:13, 30 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Juan_Pizarro","{{Information |Description ={{en|1=Milwaukee Braves pitcher en:Juan Pizarro in a 1957 issue of Baseball Digest.}} |Source =Baseball Digest, page 2, March 1957 issue. [http://books.google.com/books?id=UCwDAAAAMBAJ&printsec=frontcover&dq=bas","http://commons.wikimedia.org/wiki/File:Juan_Pizarro_1957.png"
"","Date/Time","","User","Comment","http://commons.wikimedia.org/wiki/File:Tito_Francona_1960.png"
"http://upload.wikimedia.org/wikipedia/commons/5/55/Tito_Francona_1960.png","21:29, 29 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","{{Information |Description ={{en|1=Cleveland Indians player Tito Francona in a 1960 issue of Baseball Digest.}} |Source =Baseball Digest, front cover, June 1960 issue. [http://books.google.com/books?id=8C0DAAAAMBAJ&printsec=frontcover&dq=baseba","http://commons.wikimedia.org/wiki/File:Tito_Francona_1960.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Ron_Hansen_1960.png"
"http://upload.wikimedia.org/wikipedia/commons/e/e8/Ron_Hansen_1960.png","21:02, 29 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Ron_Hansen_(baseball)","{{Information |Description ={{en|1=Baltimore Orioles shortstop Ron Hansen in a 1960 issue of Baseball Digest.}} |Source =Baseball Digest, page 8, March 1960 issue. [http://books.google.com/books?id=YC8DAAAAMBAJ&pri","http://commons.wikimedia.org/wiki/File:Ron_Hansen_1960.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Joe_Black_1953.png"
"http://upload.wikimedia.org/wikipedia/commons/f/fc/Joe_Black_1953.png","21:39, 30 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Joe_Black","{{Information |Description ={{en|1=Brooklyn Dodgers pitcher en:Joe Black in a 1953 issue of Baseball Digest.}} |Source =Baseball Digest, page 2, January 1953 issue. [http://books.google.com/books?id=Xy4DAAAAMBAJ&printsec=frontcover&dq=base","http://commons.wikimedia.org/wiki/File:Joe_Black_1953.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Evolution_of_the_Ball,_Baseball_Digest_July_1963.djvu"
"http://upload.wikimedia.org/wikipedia/commons/5/59/Evolution_of_the_Ball%2C_Baseball_Digest_July_1963.djvu","04:16, 29 September 2009","http://commons.wikimedia.org/wiki/User:Struthious_Bandersnatch","Struthious Bandersnatch (talk | contribs)","http://en.wikipedia.org/wiki/Baseball_Digest","{{Information |Description=Djvu file containing pages 67-71 of the July 1963 issue of Baseball Digest magazine, comprising the story 'Evolution of the Ball' compiled by the Rawlings Sporting Goods Company / Rawlings Trade Digest. Th","http://commons.wikimedia.org/wiki/File:Evolution_of_the_Ball,_Baseball_Digest_July_1963.djvu"
"","Date/Time","","User","Comment","http://commons.wikimedia.org/wiki/File:Jerry_Kindall_1962.png"
"http://upload.wikimedia.org/wikipedia/commons/7/75/Jerry_Kindall_1962.png","02:37, 8 June 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","{{Information |Description ={{en|1=Cleveland Indians second baseman {{w|Jerry Kindall}} in a 1962 issue of Baseball Digest.}} |Source =Baseball Digest, back cover, October 1962 issue. [http://books.google.com/books?id=ki0DAAAAMBAJ&lpg=PA1&dq=ba","http://commons.wikimedia.org/wiki/File:Jerry_Kindall_1962.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Billy_Martin_1954.png"
"http://upload.wikimedia.org/wikipedia/commons/7/7f/Billy_Martin_1954.png","16:37, 30 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Billy_Martin","{{Information |Description ={{en|1=New York Yankees second baseman en:Billy Martin in a 1954 issue of Baseball Digest.}} |Source =Baseball Digest, front cover, January 1954 issue. [http://books.google.com/books?id=aS4DAAAAMBAJ&printsec=fro","http://commons.wikimedia.org/wiki/File:Billy_Martin_1954.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Joe_Nuxhall_1957.png"
"http://upload.wikimedia.org/wikipedia/commons/d/dd/Joe_Nuxhall_1957.png","04:09, 30 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Joe_Nuxhall","{{Information |Description ={{en|1=Cincinnati Reds pitcher en:Joe Nuxhall in a 1957 issue of Baseball Digest.}} |Source =Baseball Digest, back cover, June 1957 issue. [http://books.google.com/books?id=GjMDAAAAMBAJ&printsec=frontcover&dq=ba","http://commons.wikimedia.org/wiki/File:Joe_Nuxhall_1957.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Phil_Rizzuto_1950.png"
"http://upload.wikimedia.org/wikipedia/commons/9/9e/Phil_Rizzuto_1950.png","02:20, 31 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Phil_Rizzuto","{{Information |Description ={{en|1=New York Yankees shortstop en:Phil Rizzuto in a 1950 issue of Baseball Digest.}} |Source =Baseball Digest, front cover, July 1950 issue. [http://books.google.com/books?id=OiwDAAAAMBAJ&printsec=frontcover&","http://commons.wikimedia.org/wiki/File:Phil_Rizzuto_1950.png"
"","Date/Time","","User","Comment","http://commons.wikimedia.org/wiki/File:Duke_Maas_1957.jpg"
"http://upload.wikimedia.org/wikipedia/commons/2/25/Duke_Maas_1957.jpg","01:16, 11 June 2012","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","{{Information |Description ={{en|1=Detroit Tigers pitcher {{w|Duke Maas}} in a 1957 issue of Baseball Digest.}} |Source =Baseball Digest, back cover, July 1957 issue. [http://books.google.com/books?id=MiwDAAAAMBAJ&lpg=PA1&lr&rview=1&pg=PT1#v...","http://commons.wikimedia.org/wiki/File:Duke_Maas_1957.jpg"
"","Date/Time","","User","Comment","http://commons.wikimedia.org/wiki/File:Ed_Bouchee_1957.jpg"
"http://upload.wikimedia.org/wikipedia/commons/3/37/Ed_Bouchee_1957.jpg","03:42, 11 June 2012","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","{{Information |Description ={{en|1=Philadelphia Phillies first baseman {{w|Ed Bouchee}} in a 1957 issue of Baseball Digest.}} |Source =Baseball Digest, back cover, July 1957 issue. [http://books.google.com/books?id=MiwDAAAAMBAJ&lpg=PA1&lr&rv...","http://commons.wikimedia.org/wiki/File:Ed_Bouchee_1957.jpg"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Harvey_Kuenn_1953.png"
"http://upload.wikimedia.org/wikipedia/commons/5/52/Harvey_Kuenn_1953.png","22:01, 30 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Harvey_Kuenn","{{Information |Description ={{en|1=Detroit Tigers player en:Harvey Kuenn in a 1953 issue of Baseball Digest.}} |Source =Baseball Digest, page 99, August 1953 issue. [http://books.google.com/books?id=aC4DAAAAMBAJ&printsec=frontcover&dq=base","http://commons.wikimedia.org/wiki/File:Harvey_Kuenn_1953.png"
"","Date/Time","","User","Comment","http://commons.wikimedia.org/wiki/File:Chico_Ruiz_1962.png"
"http://upload.wikimedia.org/wikipedia/commons/3/3e/Chico_Ruiz_1962.png","14:29, 29 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","{{Information |Description ={{en|1=Cincinnati Reds infielder Chico Ruiz in a 1962 issue of Baseball Digest (In Minors at time photo was taken, hence the unusual cap.)}} |Source =Baseball Digest, back cover, March 1962 issue. [http://books.googl","http://commons.wikimedia.org/wiki/File:Chico_Ruiz_1962.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Saul_Rogovin_1953.png"
"http://upload.wikimedia.org/wikipedia/commons/6/60/Saul_Rogovin_1953.png","22:22, 3 September 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","","Cropped slight border around image.","http://commons.wikimedia.org/wiki/File:Saul_Rogovin_1953.png"
"http://upload.wikimedia.org/wikipedia/commons/archive/6/60/20110903222249%21Saul_Rogovin_1953.png","22:05, 30 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Saul_Rogovin","{{Information |Description ={{en|1=Chicago White Sox pitcher en:Saul Rogovin in a 1953 issue of Baseball Digest.}} |Source =Baseball Digest, page 99, August 1953 issue. |Author =unknown |Date =1953-08 |Permission ={{P","http://commons.wikimedia.org/wiki/File:Saul_Rogovin_1953.png"
"","Date/Time","","User","Comment","http://commons.wikimedia.org/wiki/File:Woodie_Held_1960.png"
"http://upload.wikimedia.org/wikipedia/commons/d/d7/Woodie_Held_1960.png","02:19, 5 June 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","{{Information |Description ={{en|1=Cleveland Indians player {{w|Woodie Held}} in a 1960 issue of Baseball Digest.}} |Source =Baseball Digest, page 19, July 1960 issue. [http://books.google.com/books?id=DbcDAAAAMBAJ&lpg=PA4&dq=baseball%20digest&","http://commons.wikimedia.org/wiki/File:Woodie_Held_1960.png"
"","Date/Time","","User","Comment","http://commons.wikimedia.org/wiki/File:Joe_Cunningham_1960.png"
"http://upload.wikimedia.org/wikipedia/commons/e/e8/Joe_Cunningham_1960.png","02:41, 5 June 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","{{Information |Description ={{en|1=St. Louis Cardinals pitcher {{w|Joe Cunningham}} in a 1960 issue of Baseball Digest.}} |Source =Baseball Digest, page 67, May 1960 issue. [http://books.google.com/books?id=iC8DAAAAMBAJ&lpg=PA93&dq=baseball%20d","http://commons.wikimedia.org/wiki/File:Joe_Cunningham_1960.png"
"","Date/Time","","User","Comment","http://commons.wikimedia.org/wiki/File:Dick_Groat_1960.png"
"http://upload.wikimedia.org/wikipedia/commons/3/3a/Dick_Groat_1960.png","01:39, 5 June 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","{{Information |Description ={{en|1=Pittsburgh Pirates shortstop {{w|Dick Groat}} in a 1960 issue of Baseball Digest.}} |Source =Baseball Digest, front cover, October 1960 issue. [http://books.google.com/books?id=gy0DAAAAMBAJ&lpg=PA85&dq=basebal","http://commons.wikimedia.org/wiki/File:Dick_Groat_1960.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Gino_Cimoli_1957.png"
"http://upload.wikimedia.org/wikipedia/commons/3/3a/Gino_Cimoli_1957.png","04:03, 30 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Gino_Cimoli","{{Information |Description ={{en|1=Brooklyn Dodgers outfielder en:Gino Cimoli in a 1957 issue of Baseball Digest.}} |Source =Baseball Digest, back cover, September 1957 issue. [http://books.google.com/books?id=LTMDAAAAMBAJ&printsec=frontco","http://commons.wikimedia.org/wiki/File:Gino_Cimoli_1957.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Eddie_Yost_1960.png"
"http://upload.wikimedia.org/wikipedia/commons/4/44/Eddie_Yost_1960.png","21:22, 29 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Eddie_Yost","{{Information |Description ={{en|1=Detroit Tigers third baseman en:Eddie Yost in a 1960 issue of Baseball Digest.}} |Source =Baseball Digest, page 67, December 1960 issue. [http://books.google.com/books?id=OS4DAAAAMBAJ&printsec=frontcover&","http://commons.wikimedia.org/wiki/File:Eddie_Yost_1960.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Del_Crandall_1955.png"
"http://upload.wikimedia.org/wikipedia/commons/c/c5/Del_Crandall_1955.png","15:18, 30 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Del_Crandall","{{Information |Description ={{en|1=Milwaukee Braves catcher en:Del Crandall in a 1955 issue of Baseball Digest.}} |Source =Baseball Digest, page 2, April 1955 issue. [http://books.google.com/books?id=8jIDAAAAMBAJ&printsec=frontcover&dq=bas","http://commons.wikimedia.org/wiki/File:Del_Crandall_1955.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Ed_Bailey_1956.png"
"http://upload.wikimedia.org/wikipedia/commons/9/9f/Ed_Bailey_1956.png","14:13, 30 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Ed_Bailey","{{Information |Description ={{en|1=Cincinnati Reds catcher en:Ed Bailey in a 1956 issue of Baseball Digest.}} |Source =Baseball Digest, back cover, August 1956 issue. [http://books.google.com/books?id=TSwDAAAAMBAJ&printsec=frontcover&dq=ba","http://commons.wikimedia.org/wiki/File:Ed_Bailey_1956.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Johnny_Roseboro_1957.png"
"http://upload.wikimedia.org/wikipedia/commons/d/d4/Johnny_Roseboro_1957.png","03:06, 30 May 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","http://en.wikipedia.org/wiki/Johnny_Roseboro","{{Information |Description ={{en|1=Brooklyn Dodgers catcher en:Johnny Roseboro in a 1957 issue of Baseball Digest.}} |Source =Baseball Digest, page 2, March 1957 issue. [http://books.google.com/books?id=UCwDAAAAMBAJ&printsec=frontcover&dq=","http://commons.wikimedia.org/wiki/File:Johnny_Roseboro_1957.png"
"","Date/Time","","User","Comment","http://commons.wikimedia.org/wiki/File:Tony_Cloninger_1962.png"
"http://upload.wikimedia.org/wikipedia/commons/a/a5/Tony_Cloninger_1962.png","02:32, 8 June 2011","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","{{Information |Description ={{en|1=Milwaukee Braves pitcher {{w|Tony Cloninger}} in a 1962 issue of Baseball Digest.}} |Source =Baseball Digest, inside front cover, May 1962 issue. [http://books.google.com/books?id=dy8DAAAAMBAJ&lpg=PA1&dq=baseb","http://commons.wikimedia.org/wiki/File:Tony_Cloninger_1962.png"
"","Date/Time","","User","Comment","http://commons.wikimedia.org/wiki/File:Ken_McMullen.jpg"
"http://upload.wikimedia.org/wikipedia/commons/a/ae/Ken_McMullen.jpg","21:51, 7 June 2012","http://commons.wikimedia.org/wiki/User:Delaywaves","Delaywaves (talk | contribs)","{{Information |Description ={{en|1=Los Angeles Dodgers third baseman {{w|Ken McMullen (baseball)|Ken McMullen}} in a 1963 issue of Baseball Digest.}} |Source =Baseball Digest, page 15, March 1963 issue. [http://books.google.com/books?id=jS0D...","http://commons.wikimedia.org/wiki/File:Ken_McMullen.jpg"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Hoot_Evers.png"
"http://upload.wikimedia.org/wikipedia/commons/2/2e/Hoot_Evers.png","16:57, 9 April 2010","http://commons.wikimedia.org/wiki/User:Wizardman","Wizardman (talk | contribs)","http://commons.wikimedia.org/wiki/Baseball","{{Information |Description={{en|1=An image of Major League Baseball outfielder en:Hoot Evers.}} |Source=Baseball Digest, inside back cover, February 1948 issue. [http://books.google.com/books?id=2TIDAAAAMBAJ&printsec=frontcover&lr=#v=onepage&q&f=","http://commons.wikimedia.org/wiki/File:Hoot_Evers.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Ed_Fitz_Gerald.png"
"http://upload.wikimedia.org/wikipedia/commons/5/58/Ed_Fitz_Gerald.png","01:48, 9 April 2010","http://commons.wikimedia.org/wiki/User:Wizardman","Wizardman (talk | contribs)","http://commons.wikimedia.org/wiki/Baseball","{{Information |Description={{en|1=An image of Major League Baseball catcher en:Ed Fitz Gerald.}} |Source=Baseball Digest, inside front cover, February 1948 issue. [http://books.google.com/books?id=2TIDAAAAMBAJ&printsec=frontcover&lr=#v=onepage&q&","http://commons.wikimedia.org/wiki/File:Ed_Fitz_Gerald.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Bill_Salkeld.png"
"http://upload.wikimedia.org/wikipedia/commons/d/da/Bill_Salkeld.png","17:16, 9 April 2010","http://commons.wikimedia.org/wiki/User:Wizardman","Wizardman (talk | contribs)","http://commons.wikimedia.org/wiki/Baseball","{{Information |Description={{en|1=An image of Major League Baseball catcher en:Bill Salkeld.}} |Source=Baseball Digest, back cover, February 1948 issue. [http://books.google.com/books?id=2TIDAAAAMBAJ&printsec=frontcover&lr=#v=onepage&q&f=false] |","http://commons.wikimedia.org/wiki/File:Bill_Salkeld.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Hugh_Casey.png"
"http://upload.wikimedia.org/wikipedia/commons/7/71/Hugh_Casey.png","18:37, 9 April 2010","http://commons.wikimedia.org/wiki/User:Wizardman","Wizardman (talk | contribs)","http://commons.wikimedia.org/wiki/Baseball","{{Information |Description={{en|1=An image of Major League Baseball pitcher en:Hugh Casey.}} |Source=Baseball Digest, back cover, April 1948 issue. [http://books.google.com/books?id=bi4DAAAAMBAJ&printsec=frontcover&lr=#v=onepage&q&f=false] |Autho","http://commons.wikimedia.org/wiki/File:Hugh_Casey.png"
"","Date/Time","","User","","Comment","http://commons.wikimedia.org/wiki/File:Leo_Durocher.png"
