citetext,wikihandle,year,citeid,done,datevar,issuevar,volumevar,yearvar,refvar,manual_date
*irv medlingerwas a major league baseball pitcher for thebaltimore orioles|st. louis browns(1949 51).<ref name=baseballdigest99/>,Lane_Technical_College_Prep_High_School,2013,196,0,,,,,,1999
*john felskeis a former major league baseball player and manager.<ref name=baseballdigest99/>,Lane_Technical_College_Prep_High_School,2012,198,0,,,,,,1999
*john kuenster editor ofbaseball digest author,List_of_people_from_Illinois,2013,199,0,,,,,,NA
*len churchwas a pitcher for the chicago cubs (1966).<ref name=baseballdigest99/>,Lane_Technical_College_Prep_High_School,2011,200,0,,,,,,1999
*orville jorgenswas a pitcher for thephiladelphia phillies(193537).<ref name=baseballdigest99/>,Lane_Technical_College_Prep_High_School,2013,205,0,,,,,,1999
*otto denningwas a major league catcher for thecleveland indians(194243).<ref name=baseballdigest99/>,Lane_Technical_College_Prep_High_School,2012,206,0,,,,,,1999
*phil cavarrettais a formermajor league baseballplayer (193455). he spent most of his playing career with and briefly managed thechicago cubs.<ref name=highschool/><ref name=cps alumni hof/><ref name=baseballdigest99/>,Lane_Technical_College_Prep_High_School,2010,207,0,,,,,,1999
*phil cavarrettawas amajor league baseballplayer (193455). he spent most of his playing career with and briefly managed thechicago cubs.<ref name=highschool/><ref name=cps alumni hof/><ref name=baseballdigest99/>,Lane_Technical_College_Prep_High_School,2011,208,0,,,,,,1999
*phil weintraubwas a major league baseball player (193338 4445).<ref name=baseballdigest99/>,Lane_Technical_College_Prep_High_School,2013,209,0,,,,,,1999
*players choice award|players choice awardsplayer of the year<ref name=playerofyr>theplayers choice award|players choice awardsthe sporting news player of the year award|sporting newsbaseball america major league player of the year|baseball america andbest major league baseball player espy award|espyplayer-of-the-year awards include all positions (in both leagues combined).baseball americaand the espys do not have a pitcher of the year award. the players choice awards also have outstanding player and outstanding pitcher awards in each league.sporting newsalso has a pitcher of the year award in each league. from 1969 to 1993 thebaseball digestplayer-of-the-year award included all positions (in both leagues combined); in 1994 it added a separate pitcher of the year award (for both leagues combined).</ref>,Baseball_awards,2012,210,0,,,,,,NA
*http://books.google.com/books?id=ftidaaaambaj&pg=pa35&lpg=pa35&dq=dick+bertell&source=bl&ots=0hlwb2tq9i&sig=l_xodjg_bh8n0s4mgnxclq6svum&hl=en&ei=qu1fs-gyms-utgfy89dxdq&sa=x&oi=book_result&ct=result&resnum=1&ved=0cacq6aewadgk#v=onepage&q=dick%20bertell&f=falsedick bertells 60-foot trip to success baseball digest by jerome holtzman june 1965 vol. 24 no. 5 issn 0005-609x,Dick_Bertell,2010,259,0,,,,,,1965
*http://books.google.com/books?id=kisdaaaambaj&pg=pa35&dq=robby+thompson+baseball+digest&hl=en&ei=vchxtcyddy2gtwfu4_judg&sa=x&oi=book_result&ct=result&resnum=2&ved=0ccsq6aewaq#v=onepage&q=robby%20thompson%20baseball%20digest&f=false robby thompson profile baseball digest,Robby_Thompson,2011,280,0,,,,,,NA
*http://books.google.com/books?id=scsdaaaambajallbaseball digestsavailable at google books scanned in full-text.,Baseball_Digest,2011,314,0,,,,,,NA
*http://findarticles.com/p/articles/mi_m0fci/is_1_66/ai_n17093457/ baseball digest all-star rookie teams: 19712006,Baseball_Digest,2012,355,0,,,,,,NA
*http://findarticles.com/p/articles/mi_m0fci/is_9_60/ai_76928886 article on cash from baseball digest sept. 2001,Norm_Cash,2007,356,0,,,,,,2001
*http://www.baseballdigest.com/ www.baseballdigest.comofficial site,Baseball_Digest,2013,357,0,,,,,,NA
*http://www.baseballdigestdaily.com baseball digest daily,Voros_McCracken,2009,358,0,,,,,,NA
*http://www.baseballdigestdaily.com/bullpen/index.php?option=com_content&task=view&id=108&itemid=39 prince fielder interview at baseball digest daily - june 2006,Prince_Fielder,2007,359,0,,,,,,2006
*http://www.baseballdigestdaily.com/bullpen/index.php?option=com_content&task=view&id=111&itemid=39 brian sabean interview at baseball digest daily - july 3 2006,Brian_Sabean,2006,360,0,,,,,,2006
*http://www.baseballdigestdaily.com/bullpen/index.php?option=com_content&task=view&id=198&itemid=39 baseball digest dailyfrom point guard to baseball coach,Tony_Gwynn,2007,361,0,,,,,,NA
*http://www.baseballdigestdaily.com/bullpen/index.php?option=com_content&task=view&id=33&itemid=26 joey devine interview at baseball digest daily,Joey_Devine,2006,362,0,,,,,,NA
*http://www.findarticles.com/cf_dls/m0fci/11_61/92521923/p1/article.jhtml baseball digest- 1950: when philadelphias whiz kids won the nl pennant,Robin_Roberts_(baseball),2007,363,0,,,,,,1950
*http://www.findarticles.com/p/articles/mi_m0fci/is_11_61/ai_92521923/pg_1 baseball digest- 1950: when philadelphias whiz kids won the n.l. pennant,Andy_Seminick,2006,364,0,,,,,,1950
*http://www.findarticles.com/p/articles/mi_m0fci/is_6_61/ai_85481737 baseball digest,Billy_Pierce,2007,365,0,,,,,,NA
*http://www.findarticles.com/p/articles/mi_m0fci/is_6_61/ai_85481737 baseball digest- billy pierce ranked among the best of his era,Billy_Pierce,2005,366,0,,,,,,NA
*http://www.findarticles.com/p/articles/mi_m0fci/is_6_61/ai_85481737 billy pierce ranked among the best of his era -article atbaseball digest,Billy_Pierce,2004,367,0,,,,,,NA
* baseball digest major league baseball player of the year (2000),Todd_Helton,2013,369,0,,,,,,NA
* baseball digest player of the year (1995),Albert_Belle,2013,370,0,,,,,,NA
* july 4 1983:dave righettithrew a no-hitter against the1983 boston red sox season|boston red sox<ref>http://findarticles.com/p/articles/mi_m0fci/is_8_61/ai_88575159 boxscore: new york yankees vs. boston red sox july 4 1983 - baseball game statistics - brief article - statistical data included|baseball digest|find articles at bnet<!-- bot generated title --></ref>,1983_New_York_Yankees_season,2009,374,0,,,,,,1983
* july 4 1983:dave righettithrew a no-hitter versus the1983 boston red sox season|boston red sox<ref>http://findarticles.com/p/articles/mi_m0fci/is_8_61/ai_88575159 boxscore: new york yankees vs. boston red sox july 4 1983 - baseball game statistics - brief article - statistical data included|baseball digest|find articles at bnet<!-- bot generated title --></ref>,1983_New_York_Yankees_season,2008,376,0,,,,,,1983
* shortly after the angels traded wagner to clevelandleon schwab who owned the famous drugstore inhollywood made a comment about wagner that was printed inbaseball digest.upon hearing that the angels traded wagner to the indians forjoe adcockandbarry latman--schwabsson-in-law--schwab asked is that all they got for wagner?,Leon_Wagner,2010,380,0,,,,,,NA
* {{by|1984}}baseball digestrookie all-star team,Mike_Fitzgerald_(catcher),2011,381,0,,,,,,NA
* {{cite web|url=http://findarticles.com/p/articles/mi_m0fci/is_11_63/ai_n6332592|title=cy young award voting results|publisher=baseball digest|accessdate=2008-11-01}},Cy_Young_Award,2009,391,0,,,,,,NA
*the making of dave concepcion.baseball digest by si burick - august 1974 (vol. 33 issue 8) -- p. 40 3 page(s),Dave_Concepci%C3%B3n,2004,395,0,,,,,,1974
*baseball digestpitcher of the year,Baseball_awards,2011,396,0,,,,,,NA
*baseball digestpitcher of the year (in mlb),Cy_Young_Award,2012,397,0,,,,,,NA
*baseball digestplayer of the year,Major_League_Baseball_Most_Valuable_Player_Award,2011,398,0,,,,,,NA
*baseball digestplayer of the year (in mlb; for position players) (from 1969 to 1993 included all positions; in 1994 a separate pitcher of the year award was added),Best_Major_League_Baseball_Player_ESPY_Award,2013,399,0,,,,,,NA
*baseball digestplayer of the year<ref name=playerofyr/>,Baseball_awards,2011,400,0,,,,,,NA
**http://www.findarticles.com/cf_dls/m0fci/8_62/104362925/p1/article.jhtml baseball digest (article),Bill_Skowron,2004,401,0,,,,,,NA
*baseball digesthttp://books.google.com/books?id=ai4daaaambaj in image via googlefree,List_of_online_magazines,2009,406,0,,,,,,NA
*baseball digest|baseball digest rookie all-star,1981_Los_Angeles_Dodgers_season,2009,407,0,,,,,,NA
*baseball digest|baseball digest rookie all-stars,1995_Los_Angeles_Dodgers_season,2009,408,0,,,,,,NA
*players choice award|players choice awardsplayer of the year<ref name=playerofyr>theplayers choice award|players choice awardsthe sporting news player of the year award|sporting newsbaseball america major league player of the year|baseball america andbest major league baseball player espy award|espyplayer-of-the-year awards include all positions (in both leagues combined).baseball americaand the espys do not have a pitcher of the year award. the players choice awards also have outstanding player and outstanding pitcher awards in each league.sporting newsalso has a pitcher of the year award in each league. from 1969 to 1993 thebaseball digestplayer-of-the-year award included all positions (in both leagues combined); in 1994 it added a separate pitcher of the year award (for both leagues combined).</ref>,Baseball_awards,2011,415,0,,,,,,NA
*steve carltonbecame the seventh pitcher to have 3000 strikeouts and the first left-handed pitcher in a game between the phillies and expos;tom seaverof the reds had become the sixth on april 18 against the cardinals. the first five were walter johnson (1923) bob gibson (1974) gaylord perry (1978) and nolan ryan (1980). baseball digest (oct 2000) p9,April_1981,2011,420,0,,,,,,2000
*http://blog.baseballdigestdaily.com/blog/_archives/2008/5/5/3676290.html baseball digest daily,Tim_Beckham,2009,425,0,,,,,,NA
*http://books.google.com/books?id=rs0daaaambaj&pg=pa64&dq=kell&hl=en&ei=3wsytt2dh83xialewrxdca&sa=x&oi=book_result&ct=result&resnum=1&ved=0cdeq6aewaa#v=onepage&q=kell&f=false hall of famer george kell: a fan favorite in detroit july 2006baseball digest,George_Kell,2013,572,0,,,,,,2006
*http://books.google.com/books?id=scsdaaaambajallbaseball digestsavailable at google books scanned in full-text.,Baseball_Digest,2009,575,0,,,,,,NA
*http://books.google.com/books?id=zyodaaaambaj&pg=pa63&dq=kell&hl=en&ei=3wsytt2dh83xialewrxdca&sa=x&oi=book_result&ct=result&resnum=2&ved=0cduq6aewaq#v=onepage&q=kell&f=false george kell: from rejected prospect to hall of famer august 1994baseball digest,George_Kell,2011,614,0,,,,,,1994
*http://books.google.com/books?id=zzedaaaambaj&pg=pa87&lpg=pa87&dq=%22tony+pierce%22+pitcher&source=bl&ots=2hxaukp9ax&sig=t_1euqvcidffjjjca9fylbij-tq&hl=en&ei=_mgmtt6xfoon0ageylmadg&sa=x&oi=book_result&ct=result&resnum=1&ved=0cbkq6aewadgk#v=onepage&q=%22tony%20pierce%22%20pitcher&f=falsebaseball digestfeature story july 1967,Tony_Pierce_(baseball),2013,616,0,,,,,,1967
*http://findarticles.com/p/articles/mi_m0fci/is_11_61/ai_92521923 1950: when philadelphias whiz kids won the nl pennant a 2002baseball digestarticle via findarticle.com,Robin_Roberts_(baseball),2008,618,0,,,,,,2002
*http://findarticles.com/p/articles/mi_m0fci/is_7_59/ai_64150803 baseball digest,Walter_Carlisle,2009,620,0,,,,,,NA
*http://www.baseballdigestdaily.com/bullpen/index.php?option=com_content&task=view&id=108&itemid=39 prince fielder interview at baseball digest daily june 2006,Prince_Fielder,2012,621,0,,,,,,2006
*http://www.baseballdigestdaily.com/bullpen/index.php?option=com_content&task=view&id=108&itemid=39 prince fielder interview at baseball digest daily - june 2006,Prince_Fielder,2008,622,0,,,,,,2006
*http://www.baseballdigestdaily.com/bullpen/index.php?option=com_content&task=view&id=111&itemid=39 brian sabean interview at baseball digest daily - july 3 2006,Brian_Sabean,2011,623,0,,,,,,2006
*http://www.baseballdigestdaily.com/bullpen/index.php?option=com_content&task=view&id=111&itemid=39 brian sabean interviewatbaseball digest daily- july 3 2006,Brian_Sabean,2012,624,0,,,,,,2006
*http://www.baseballdigestdaily.com/bullpen/index.php?option=com_content&task=view&id=131&itemid=39 jim hendry interview at baseball digest daily,Jim_Hendry,2010,625,0,,,,,,NA
*http://www.baseballdigestdaily.com/bullpen/index.php?option=com_content&task=view&id=198&itemid=39 baseball digest dailyfrom point guard to baseball coach,Tony_Gwynn,2010,626,0,,,,,,NA
*http://www.baseballdigestdaily.com/bullpen/index.php?option=com_content&task=view&id=20&itemid=26 bill james interview at baseball digest daily - part i,Bill_James,2009,627,0,,,,,,NA
*http://www.baseballdigestdaily.com/bullpen/index.php?option=com_content&task=view&id=21&itemid=26 bill james interview at baseball digest daily - part ii,Bill_James,2010,628,0,,,,,,NA
*http://www.baseballdigestdaily.com/bullpen/index.php?option=com_content&task=view&id=22&itemid=26 bill james interview at baseball digest daily - part iii,Bill_James,2007,629,0,,,,,,NA
*http://www.baseballdigestdaily.com/bullpen/index.php?option=com_content&task=view&id=25&itemid=26 conor jackson interview at baseball digest daily - may 2005,Conor_Jackson,2008,630,0,,,,,,2005
*http://www.baseballdigestdaily.com/bullpen/index.php?option=com_content&task=view&id=32&itemid=26 jered weaver interview at baseball digest daily august 2005,Jered_Weaver,2013,631,0,,,,,,2005
*http://www.baseballdigestdaily.com/bullpen/index.php?option=com_content&task=view&id=32&itemid=26 jered weaver interview at baseball digest daily - august 2005,Jered_Weaver,2010,632,0,,,,,,2005
*http://www.baseballdigestdaily.com/bullpen/index.php?option=com_content&task=view&id=48&itemid=26 roger mcdowell interview at baseball digest daily - february 2006,Roger_McDowell,2007,633,0,,,,,,2006
*http://www.baseballdigestdaily.com/bullpen/index.php?option=com_content&task=view&id=53&itemid=26 jeff blauser interview at baseball digest daily - march 2006,Jeff_Blauser,2010,634,0,,,,,,2006
*http://www.baseballdigestdaily.com/bullpen/index.php?option=com_content&task=view&id=83&itemid=26 tom tango interview at baseball digest daily - part i,Tom_Tango,2010,635,0,,,,,,NA
*http://www.baseballdigestdaily.com/bullpen/index.php?option=com_content&task=view&id=87&itemid=26 tom tango interview at baseball digest daily - part ii,Tom_Tango,2006,636,0,,,,,,NA
*http://www.findarticles.com/cf_dls/m0fci/11_61/92521923/p1/article.jhtml baseball digest - 1950: when philadelphias whiz kids won the nl pennant,Ken_Johnson_(left-handed_pitcher),2010,637,0,,,,,,1950
*http://www.findarticles.com/cf_dls/m0fci/11_61/92521923/p1/article.jhtmlbaseball digest- 1950: when philadelphias whiz kids won the nl pennant,Willie_Jones_(baseball),2006,638,0,,,,,,1950
*http://www.findarticles.com/cf_dls/m0fci/11_61/92521923/p1/article.jhtml baseball digest - 1950: when philadelphias whiz kids won the nl pennant,Willie_Jones_(baseball),2005,639,0,,,,,,1950
*http://www.findarticles.com/cf_dls/m0fci/8_62/104362925/p1/article.jhtml baseball digest,Bill_Skowron,2013,640,0,,,,,,NA
*http://www.findarticles.com/p/articles/mi_m0fci/is_6_61/ai_85481737baseball digest: former pitcher billy pierce: he ranked among the best of his era- june 2002 interview,Billy_Pierce,2012,641,0,,,,,,2002
*https://www.baseballdigest.com/ baseballdigest.com,Baseball_Digest,2009,642,0,,,,,,NA
*baseball digest player of the year (1995),Albert_Belle,2006,643,0,,,,,,NA
*don larsen: the game ill never forget.baseball digestoct. 2003,Don_Larsen,2008,644,0,,,,,,2003
*holtzman jerome (2003). pitching perfection is in the eye of the beholderbaseball digest(june; availablehttp://findarticles.com/p/articles/mi_m0fci/is_6_62/ai_100961679 online).,Perfect_game,2006,645,0,,,,,,
*lewis allen (2002). tainted no-hittersbaseball digest(february; availablehttp://findarticles.com/p/articles/mi_m0fci/is_2_61/ai_81761310/pg_2 online).,Perfect_game,2009,653,0,,,,,,2002
*quote: three inches in front of home plate it (johnny schmitzs curve ball) was up around your head; the catcher wound up catching it by your feet. he could drop it in a coffee cup. -rex barneyin old dodgers werepatsiesfor him (baseball digest: september 1996),Johnny_Schmitz,2011,657,0,,,,,,1996
*quote: three inches in front of home plate it (johnny schmitzs curve ball) was up around your head; the catcher wound up catching it by your feet. he could drop it in a coffee cup. -rex barneyin old dodgers werepatsiesfor him (baseball digest: september 1996),Johnny_Schmitz,2007,658,0,,,,,,1996
*since1971 in baseball|1971baseball digesthas annually selected an all-star rookie team as well. the latest roster is usually printed along with all past rosters in one of their off-season issues. for more onbaseball digest lookhttp://www.centurysports.net/baseball/ here.,Topps_All-Star_Rookie_Team,2006,661,0,,,,,,NA
*since {{by|1971}}baseball digesthas annually selected an all-star rookie team as well. the latest roster is usually printed along with all past rosters in one of their off-season issues. for more onbaseball digest lookhttp://www.centurysports.net/baseball/ here.,Topps_All-Star_Rookie_Team,2010,662,0,,,,,,NA
*since {{by|1971}}baseball digesthas annually selected an all-star rookie team as well. the latest roster is usually printed along with all past rosters in one of their off-season issues. for more onbaseball digest lookhttp://www.centurysports.net/baseball/ here.{{dead link|date=december 2011}},Topps_All-Star_Rookie_Team,2012,663,0,,,,,,NA
*the making of dave concepcin.baseball digest by si burick - august 1974 (vol. 33 issue 8) -- p. 40 3 page(s),Dave_Concepci%C3%B3n,2008,672,0,,,,,,1974
*the making of dave concepcin.baseball digest by si burick - august 1974 (vol. 33 issue 8) -- p.&nbsp;40 3 page(s),Dave_Concepci%C3%B3n,2013,673,0,,,,,,1974
*the making of dave concepcion.baseball digest by si burick - august 1974 (vol. 33 issue 8) -- p. 40 3 page(s),Dave_Concepci%C3%B3n,2007,674,0,,,,,,1974
*vass george (1998). here are the 13 most fascinating no-hittersbaseball digest(june).,Perfect_game,2011,675,0,,,,,,NA
*vass george (2002). seven most improbable no-hittersbaseball digest(august; availablehttp://findarticles.com/p/articles/mi_m0fci/is_8_61/ai_88575163/pg_4/ online).,Perfect_game,2009,676,0,,,,,,NA
*vass george (2007). one out away from fame: the final out of hitless games has often proved to be a pitchers toughest conquestbaseball digest(june; availablehttp://findarticles.com/p/articles/mi_m0fci/is_4_66/ai_n27252946/pg_8/ online).,Perfect_game,2011,677,0,,,,,,NA
:note: awarded to one position player in major league baseball (not one for each league) since 1994 whenbaseball digeststarted its pitcher of the year award.,List_of_Philadelphia_Phillies_award_winners_and_league_leaders,2011,705,0,,,,,,NA
:see:baseball digest,List_of_Philadelphia_Phillies_award_winners_and_league_leaders,2011,706,0,,,,,,NA
Err:509,Baseball_Digest,2007,717,0,,,,,,NA
Err:509,Baseball_Digest,2007,718,0,,,,,,NA
Err:510,List_of_Philadelphia_Phillies_award_winners_and_league_leaders,2010,719,0,,,,,,NA
Err:510,List_of_Philadelphia_Phillies_award_winners_and_league_leaders,2012,720,0,,,,,,NA
Err:509,Baseball_Digest,2013,721,0,,,,,,NA
baseball referencelists no playing record under haaks entry<ref>http://www.baseball-reference.com/minors/player.cgi?id=haak--001how baseball reference</ref>but according to hisnew york timesobituary and an interview with tom bird published in the february 1994 issue ofbaseball digest haak was acatcherin the extensivest. louis cardinalsfarm systemduring the 1930s. according to the bird interview haaks playing career was ended by a severe arm injury but he was still in the game as traveling secretary of the cardsrochester red wingsfarm club at the close of the {{by|1941}} season when he answered the telephone in a deserted red wingsclubhouse. the caller was cardinalsgeneral manager (baseball)|general managerbranch rickey.,Howie_Haak,2013,725,0,,,,,,NA
baseball referencelists no playing record under haaks entry<ref>http://www.baseball-reference.com/minors/player.cgi?id=haak--001how baseball reference</ref> but according to hisnew york timesobituary and an interview with tom bird published in the february 1994 issue ofbaseball digest haak was acatcherin the extensivest. louis cardinalsfarm systemduring the 1930s. according to the bird interview haaks playing career was ended by a severe arm injury but he was still in the game as traveling secretary of the cardsrochester red wingsfarm club at the close of the {{by|1941}} season when he answered the telephone in a deserted red wingsclubhouse. the caller was cardinalsgeneral manager (baseball)|general managerbranch rickey.,Howie_Haak,2012,726,0,,,,,,NA
espn.comwriterjim caplewrote that closerssaves in the ninth merely conclude what is usually a foregone conclusion.<ref name=caple/>david smith (baseball historian)|dave smithofretrosheetresearched the seasons 1930&ndash;2003 and found that the winning percentage for teams who enter the ninth inning with a lead has remained virtually unchanged over the decades. one-run leads after eight innings have been won roughly 85 percent of the time two-run leads 94 percent of the time and three-run leads about 96 percent of the time.<ref name=caple/>baseball prospectusprojects that teams could gain as much as four extra wins a year by focusing on bringing their ace into the game earlier in more critical situations with runners on base instead of holding them out to accumulate easier ninth inning saves.<ref>#prospectus2007|baseball prospectus 2007 pp.72&ndash;73</ref>inthe book: playing the percentages in baseballtom tangoet al. wrote that there was more value to having the ace reliever enter in the eighth inning with a one- or a two-run lead instead of the ninth with a three-run lead.<ref>#tango2007|tango et al. 2007 p.221</ref>managers feel the need to please their closers&mdash;and their closersagents&mdash;by getting them cheap saves to pad their stats and their bank accounts wrote caple.<ref name=caple/>tango et al. projected that using a great reliever over an average one to start the ninth with a three-run lead resulted in a two percent increase in wins versus four percent for a two-run lead or six percent for a one-run lead.<ref>#tango2007|tango et al. 2007 pp.215-16</ref>formerbaltimore oriolesmanagerjohnny oatesonce toldjerome holtzman the inventor of the save statistic that he created the ninth-inning pitcher by inventing the save. holtzman disagreed saying it was baseball managers who were responsible for not bringing in their top reliever when the game was on the line in the seventh or eighth inning which had been the pr,Closer_(baseball),2012,734,0,,,,,,NA
